iter	Passed	Remaining
0	1	161
1	2	145
2	4	147
3	5	135
4	6	132
5	8	128
6	9	126
7	10	124
8	12	123
9	13	122
10	15	122
11	16	121
12	17	119
13	19	118
14	20	116
15	21	115
16	23	113
17	24	111
18	25	110
19	27	109
20	28	108
21	30	106
22	31	105
23	32	103
24	34	102
25	35	100
26	36	99
27	37	97
28	39	95
29	40	94
30	41	93
31	43	91
32	44	90
33	46	89
34	47	88
35	48	87
36	50	85
37	51	84
38	53	82
39	54	81
40	55	80
41	56	77
42	57	76
43	59	75
44	60	73
45	61	72
46	63	71
47	64	69
48	65	68
49	66	66
50	68	65
51	69	64
52	70	62
53	72	61
54	73	60
55	75	58
56	76	57
57	77	56
58	79	55
59	80	53
60	82	52
61	83	51
62	84	49
63	86	48
64	87	47
65	89	46
66	90	44
67	92	43
68	93	41
69	94	40
70	95	39
71	97	37
72	98	36
73	99	35
74	101	33
75	103	32
76	104	31
77	106	29
78	107	28
79	109	27
80	110	26
81	112	24
82	114	23
83	115	22
84	117	20
85	118	19
86	120	17
87	121	16
88	122	15
89	124	13
90	125	12
91	126	11
92	128	9
93	129	8
94	131	6
95	132	5
96	133	4
97	135	2
98	136	1
99	138	0
