iter	Passed	Remaining
0	137	137567
1	147	73497
2	149	49819
3	152	38063
4	156	31216
5	160	26539
6	162	23095
7	165	20500
8	168	18518
9	171	17025
10	174	15733
11	177	14648
12	180	13717
13	183	12910
14	187	12311
15	190	11688
16	192	11134
17	195	10650
18	198	10247
19	203	9973
20	206	9608
21	208	9287
22	211	8980
23	216	8803
24	218	8528
25	221	8281
26	223	8064
27	226	7862
28	231	7764
29	236	7632
30	238	7460
31	241	7298
32	247	7248
33	250	7106
34	252	6966
35	255	6829
36	257	6711
37	264	6693
38	268	6615
39	271	6514
40	275	6449
41	278	6352
42	281	6255
43	283	6167
44	286	6081
45	290	6021
46	295	5982
47	297	5906
48	300	5837
49	303	5773
50	307	5713
51	309	5642
52	312	5580
53	315	5519
54	317	5455
55	322	5430
56	324	5376
57	327	5326
58	330	5274
59	333	5229
60	337	5190
61	339	5139
62	342	5098
63	345	5049
64	347	5004
65	351	4969
66	353	4923
67	357	4893
68	359	4855
69	363	4826
70	365	4788
71	368	4755
72	371	4722
73	374	4684
74	378	4666
75	382	4655
76	386	4635
77	389	4603
78	392	4578
79	395	4552
80	398	4524
81	401	4495
82	402	4450
83	405	4423
84	414	4459
85	417	4435
86	420	4407
87	423	4392
88	427	4371
89	429	4344
90	432	4318
91	435	4294
92	443	4326
93	447	4314
94	450	4293
95	457	4307
96	460	4288
97	463	4269
98	467	4254
99	474	4274
100	479	4265
101	502	4420
102	508	4425
103	512	4415
104	518	4416
105	523	4416
106	529	4416
107	542	4480
108	553	4526
109	559	4523
110	564	4520
111	571	4533
112	576	4524
113	585	4549
114	590	4545
115	597	4555
116	604	4558
117	608	4545
118	613	4545
119	617	4530
120	621	4516
121	627	4512
122	631	4502
123	635	4488
124	642	4498
125	647	4490
126	650	4473
127	658	4488
128	663	4481
129	671	4492
130	675	4480
131	680	4473
132	688	4487
133	693	4479
134	699	4480
135	703	4467
136	706	4451
137	710	4440
138	715	4434
139	721	4431
140	737	4490
141	739	4469
142	743	4457
143	752	4470
144	755	4455
145	761	4455
146	765	4442
147	768	4426
148	772	4410
149	778	4410
150	782	4399
151	787	4392
152	792	4384
153	796	4373
154	798	4355
155	801	4338
156	806	4332
157	812	4332
158	815	4315
159	818	4297
160	822	4286
161	826	4273
162	828	4255
163	831	4239
164	835	4229
165	839	4217
166	842	4202
167	845	4185
168	855	4209
169	859	4195
170	862	4180
171	867	4177
172	871	4166
173	874	4151
174	877	4137
175	883	4135
176	886	4122
177	889	4108
178	892	4092
179	899	4098
180	903	4087
181	906	4073
182	912	4075
183	916	4062
184	918	4048
185	921	4033
186	925	4021
187	930	4020
188	933	4006
189	936	3992
190	941	3986
191	944	3975
192	948	3964
193	951	3953
194	956	3950
195	960	3940
196	963	3925
197	966	3913
198	969	3900
199	972	3889
200	975	3879
201	979	3867
202	982	3855
203	986	3850
204	990	3839
205	992	3826
206	995	3812
207	997	3797
208	1002	3795
209	1005	3783
210	1008	3769
211	1010	3757
212	1013	3744
213	1020	3747
214	1023	3736
215	1025	3723
216	1028	3712
217	1034	3709
218	1037	3698
219	1040	3688
220	1042	3676
221	1046	3667
222	1051	3663
223	1053	3651
224	1056	3639
225	1059	3627
226	1064	3624
227	1067	3615
228	1070	3603
229	1133	3793
230	1136	3784
231	1146	3794
232	1149	3784
233	1154	3777
234	1187	3866
235	1196	3871
236	1203	3875
237	1216	3895
238	1222	3894
239	1227	3886
240	1232	3880
241	1235	3869
242	1241	3867
243	1245	3857
244	1250	3852
245	1257	3852
246	1260	3842
247	1263	3832
248	1272	3839
249	1275	3826
250	1278	3815
251	1281	3803
252	1284	3793
253	1287	3781
254	1290	3769
255	1292	3757
256	1299	3755
257	1306	3757
258	1333	3816
259	1343	3822
260	1350	3823
261	1359	3828
262	1363	3820
263	1368	3816
264	1372	3807
265	1378	3803
266	1383	3798
267	1389	3795
268	1393	3785
269	1396	3774
270	1399	3765
271	1405	3760
272	1408	3750
273	1412	3742
274	1415	3733
275	1421	3728
276	1424	3719
277	1428	3710
278	1434	3705
279	1438	3699
280	1442	3690
281	1446	3681
282	1451	3676
283	1455	3669
284	1459	3662
285	1464	3656
286	1471	3654
287	1474	3645
288	1483	3650
289	1487	3642
290	1500	3655
291	1504	3646
292	1507	3637
293	1511	3630
294	1514	3620
295	1517	3610
296	1521	3601
297	1526	3595
298	1529	3586
299	1533	3577
300	1536	3568
301	1541	3563
302	1545	3554
303	1548	3545
304	1552	3537
305	1558	3535
306	1564	3531
307	1567	3521
308	1572	3516
309	1575	3506
310	1578	3497
311	1582	3489
312	1588	3485
313	1591	3478
314	1595	3468
315	1598	3460
316	1603	3455
317	1606	3446
318	1609	3436
319	1612	3426
320	1618	3422
321	1621	3413
322	1624	3404
323	1626	3394
324	1630	3387
325	1633	3378
326	1636	3367
327	1639	3358
328	1642	3349
329	1646	3343
330	1651	3338
331	1654	3329
332	1657	3320
333	1662	3314
334	1664	3304
335	1667	3295
336	1670	3286
337	1673	3277
338	1677	3270
339	1679	3260
340	1682	3251
341	1684	3241
342	1687	3231
343	1691	3226
344	1694	3217
345	1697	3208
346	1701	3202
347	1708	3201
348	1711	3192
349	1714	3184
350	1721	3182
351	1723	3173
352	1726	3164
353	1729	3156
354	1735	3153
355	1738	3144
356	1740	3135
357	1742	3125
358	1745	3116
359	1748	3109
360	1751	3100
361	1754	3091
362	1756	3081
363	1758	3072
364	1762	3066
365	1765	3058
366	1768	3049
367	1770	3040
368	1773	3032
369	1776	3024
370	1779	3016
371	1781	3007
372	1784	2999
373	1786	2990
374	1789	2982
375	1792	2975
376	1795	2966
377	1797	2958
378	1800	2949
379	1803	2942
380	1806	2934
381	1809	2927
382	1812	2919
383	1815	2911
384	1819	2906
385	1823	2900
386	1826	2893
387	1829	2885
388	1832	2877
389	1834	2869
390	1838	2863
391	1841	2855
392	1844	2848
393	1847	2841
394	1850	2833
395	1853	2827
396	1855	2819
397	1858	2811
398	1861	2804
399	1864	2796
400	1867	2790
401	1871	2783
402	1873	2775
403	1876	2768
404	1878	2760
405	1882	2754
406	1885	2747
407	1888	2739
408	1890	2731
409	1892	2723
410	1896	2718
411	1899	2710
412	1901	2702
413	1904	2695
414	1906	2687
415	1909	2680
416	1914	2676
417	1917	2670
418	1920	2662
419	1923	2656
420	1927	2650
421	1929	2643
422	1932	2635
423	1935	2629
424	1937	2621
425	1942	2617
426	1944	2609
427	1947	2602
428	1950	2596
429	1956	2593
430	1958	2586
431	1961	2578
432	1964	2572
433	1968	2566
434	1971	2561
435	1974	2554
436	1977	2547
437	1979	2540
438	1982	2533
439	1985	2527
440	1988	2520
441	1991	2513
442	1994	2507
443	1996	2500
444	2000	2495
445	2002	2488
446	2005	2481
447	2009	2475
448	2012	2469
449	2015	2463
450	2018	2456
451	2021	2450
452	2023	2443
453	2026	2437
454	2030	2431
455	2032	2425
456	2036	2419
457	2038	2412
458	2042	2406
459	2045	2401
460	2048	2395
461	2051	2388
462	2054	2382
463	2057	2376
464	2060	2370
465	2063	2364
466	2066	2358
467	2069	2351
468	2072	2346
469	2075	2340
470	2078	2334
471	2081	2327
472	2083	2321
473	2086	2314
474	2090	2310
475	2092	2303
476	2095	2297
477	2097	2290
478	2100	2284
479	2103	2278
480	2106	2272
481	2108	2266
482	2111	2259
483	2113	2253
484	2116	2247
485	2119	2241
486	2121	2235
487	2124	2228
488	2127	2222
489	2130	2217
490	2134	2212
491	2136	2206
492	2139	2200
493	2141	2193
494	2144	2187
495	2148	2182
496	2150	2176
497	2153	2170
498	2155	2164
499	2158	2158
500	2161	2152
501	2164	2147
502	2166	2140
503	2169	2134
504	2172	2129
505	2175	2123
506	2178	2117
507	2180	2112
508	2183	2106
509	2185	2100
510	2188	2094
511	2192	2090
512	2195	2084
513	2198	2078
514	2201	2072
515	2204	2067
516	2207	2062
517	2210	2056
518	2212	2050
519	2215	2045
520	2218	2039
521	2221	2033
522	2223	2028
523	2226	2022
524	2228	2016
525	2231	2011
526	2234	2005
527	2237	2000
528	2240	1994
529	2243	1989
530	2245	1983
531	2248	1978
532	2251	1973
533	2254	1967
534	2257	1961
535	2259	1956
536	2262	1950
537	2266	1945
538	2268	1940
539	2271	1935
540	2274	1929
541	2277	1924
542	2280	1919
543	2283	1913
544	2285	1908
545	2288	1902
546	2290	1896
547	2293	1891
548	2296	1886
549	2299	1881
550	2301	1875
551	2304	1870
552	2307	1865
553	2310	1860
554	2313	1854
555	2315	1849
556	2318	1843
557	2320	1838
558	2323	1833
559	2326	1828
560	2329	1822
561	2331	1817
562	2334	1811
563	2336	1806
564	2340	1802
565	2343	1796
566	2345	1791
567	2348	1785
568	2351	1781
569	2354	1776
570	2357	1771
571	2360	1766
572	2363	1761
573	2366	1756
574	2369	1751
575	2372	1746
576	2374	1741
577	2377	1735
578	2380	1731
579	2386	1727
580	2389	1723
581	2392	1718
582	2395	1713
583	2398	1708
584	2401	1703
585	2404	1698
586	2406	1693
587	2409	1688
588	2412	1683
589	2415	1678
590	2418	1673
591	2420	1668
592	2423	1663
593	2426	1658
594	2430	1654
595	2433	1649
596	2435	1644
597	2438	1639
598	2440	1634
599	2444	1629
600	2448	1625
601	2451	1620
602	2453	1615
603	2456	1610
604	2460	1606
605	2463	1601
606	2466	1596
607	2469	1592
608	2473	1587
609	2476	1583
610	2479	1578
611	2482	1574
612	2485	1569
613	2490	1565
614	2493	1560
615	2496	1556
616	2499	1551
617	2503	1547
618	2506	1542
619	2509	1538
620	2512	1533
621	2515	1528
622	2520	1525
623	2523	1520
624	2525	1515
625	2528	1510
626	2532	1506
627	2535	1502
628	2538	1497
629	2541	1492
630	2544	1488
631	2548	1483
632	2551	1479
633	2554	1474
634	2557	1470
635	2560	1465
636	2564	1461
637	2567	1456
638	2569	1451
639	2572	1447
640	2575	1442
641	2578	1438
642	2582	1433
643	2584	1428
644	2588	1424
645	2591	1420
646	2595	1416
647	2598	1411
648	2601	1406
649	2603	1402
650	2608	1398
651	2610	1393
652	2614	1389
653	2616	1384
654	2619	1379
655	2623	1375
656	2626	1371
657	2629	1366
658	2632	1362
659	2634	1357
660	2639	1353
661	2642	1349
662	2647	1345
663	2650	1341
664	2654	1337
665	2656	1332
666	2660	1328
667	2664	1324
668	2666	1319
669	2669	1314
670	2672	1310
671	2677	1306
672	2680	1302
673	2683	1297
674	2686	1293
675	2689	1289
676	2693	1285
677	2696	1280
678	2699	1276
679	2702	1271
680	2706	1267
681	2709	1263
682	2712	1258
683	2715	1254
684	2718	1250
685	2722	1246
686	2725	1241
687	2728	1237
688	2731	1232
689	2735	1228
690	2738	1224
691	2742	1220
692	2745	1216
693	2750	1212
694	2753	1208
695	2756	1204
696	2759	1199
697	2762	1195
698	2766	1191
699	2769	1186
700	2772	1182
701	2775	1178
702	2779	1174
703	2782	1170
704	2785	1165
705	2788	1161
706	2791	1156
707	2795	1152
708	2798	1148
709	2801	1144
710	2804	1139
711	2806	1135
712	2810	1131
713	2813	1126
714	2816	1122
715	2819	1118
716	2822	1114
717	2826	1110
718	2829	1105
719	2832	1101
720	2835	1097
721	2840	1093
722	2843	1089
723	2845	1084
724	2848	1080
725	2850	1075
726	2856	1072
727	2859	1068
728	2862	1064
729	2865	1059
730	2870	1056
731	2873	1052
732	2876	1047
733	2879	1043
734	2884	1040
735	2887	1035
736	2890	1031
737	2893	1027
738	2897	1023
739	2900	1019
740	2903	1014
741	2906	1010
742	2909	1006
743	2913	1002
744	2916	998
745	2919	994
746	2922	989
747	2925	985
748	2930	981
749	2932	977
750	2936	973
751	2939	969
752	2942	965
753	2946	961
754	2949	956
755	2951	952
756	2954	948
757	2959	944
758	2962	940
759	2965	936
760	2968	932
761	2971	928
762	2974	924
763	2977	919
764	2980	915
765	2983	911
766	2986	907
767	2990	903
768	2993	899
769	2996	895
770	2999	891
771	3004	887
772	3007	883
773	3010	879
774	3013	874
775	3017	870
776	3020	866
777	3022	862
778	3025	858
779	3028	854
780	3033	850
781	3036	846
782	3039	842
783	3042	838
784	3046	834
785	3049	830
786	3052	826
787	3055	822
788	3058	817
789	3062	814
790	3065	809
791	3068	805
792	3071	801
793	3074	797
794	3078	793
795	3081	789
796	3084	785
797	3086	781
798	3089	777
799	3094	773
800	3096	769
801	3098	765
802	3101	760
803	3103	756
804	3106	752
805	3109	748
806	3112	744
807	3116	740
808	3119	736
809	3124	732
810	3127	728
811	3130	724
812	3135	721
813	3138	717
814	3140	712
815	3143	708
816	3146	704
817	3150	700
818	3153	696
819	3157	693
820	3160	689
821	3165	685
822	3168	681
823	3171	677
824	3174	673
825	3178	669
826	3182	665
827	3185	661
828	3188	657
829	3191	653
830	3195	649
831	3199	646
832	3202	642
833	3205	638
834	3210	634
835	3213	630
836	3216	626
837	3219	622
838	3224	618
839	3227	614
840	3230	610
841	3233	606
842	3236	602
843	3241	599
844	3244	595
845	3247	591
846	3251	587
847	3255	583
848	3258	579
849	3261	575
850	3264	571
851	3269	567
852	3272	564
853	3275	560
854	3279	556
855	3282	552
856	3285	548
857	3289	544
858	3293	540
859	3297	536
860	3301	532
861	3304	529
862	3307	525
863	3311	521
864	3315	517
865	3318	513
866	3321	509
867	3325	505
868	3329	501
869	3333	498
870	3336	494
871	3339	490
872	3343	486
873	3347	482
874	3350	478
875	3353	474
876	3355	470
877	3360	466
878	3363	463
879	3367	459
880	3370	455
881	3374	451
882	3378	447
883	3381	443
884	3384	439
885	3388	436
886	3391	432
887	3395	428
888	3398	424
889	3401	420
890	3405	416
891	3409	412
892	3412	408
893	3416	405
894	3420	401
895	3423	397
896	3426	393
897	3431	389
898	3435	385
899	3439	382
900	3442	378
901	3445	374
902	3450	370
903	3453	366
904	3456	362
905	3459	358
906	3464	355
907	3467	351
908	3470	347
909	3474	343
910	3477	339
911	3481	335
912	3484	332
913	3532	332
914	3563	331
915	3567	327
916	3570	323
917	3576	319
918	3579	315
919	3583	311
920	3610	309
921	3613	305
922	3617	301
923	3620	297
924	3624	293
925	3627	289
926	3631	285
927	3634	281
928	3637	278
929	3640	274
930	3643	270
931	3645	266
932	3648	262
933	3652	258
934	3655	254
935	3658	250
936	3661	246
937	3664	242
938	3667	238
939	3670	234
940	3673	230
941	3676	226
942	3678	222
943	3682	218
944	3686	214
945	3689	210
946	3691	206
947	3695	202
948	3699	198
949	3702	194
950	3705	190
951	3708	186
952	3711	183
953	3714	179
954	3718	175
955	3721	171
956	3723	167
957	3729	163
958	3732	159
959	3735	155
960	3738	151
961	3741	147
962	3745	143
963	3748	139
964	3751	136
965	3753	132
966	3758	128
967	3761	124
968	3764	120
969	3766	116
970	3769	112
971	3774	108
972	3776	104
973	3779	100
974	3782	96
975	3786	93
976	3789	89
977	3792	85
978	3794	81
979	3798	77
980	3801	73
981	3804	69
982	3807	65
983	3810	61
984	3814	58
985	3817	54
986	3820	50
987	3822	46
988	3825	42
989	3828	38
990	3831	34
991	3833	30
992	3837	27
993	3839	23
994	3842	19
995	3845	15
996	3848	11
997	3851	7
998	3854	3
999	3857	0
